,Iteration,Time,Fitness,FEvals,max_iters,learning_rate,pop_size,mutation_rates,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,1.82073323100485,21.7539374174659,21,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
1,1,5.17694448000111,21.7539374174659,43,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
2,2,8.45692813100322,21.7539374174659,64,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
3,3,11.7605974160033,21.7539374174659,85,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
4,4,14.6178842730005,21.7539374174659,106,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
5,5,17.9052948669996,21.7539374174659,127,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
6,6,20.7678620680017,21.7539374174659,148,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
7,7,23.6400135670046,21.7539374174659,169,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
8,8,26.4900577930021,21.7539374174659,190,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
9,9,29.7509028810018,21.7539374174659,211,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
10,10,32.6136140270028,21.7539374174659,232,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
11,11,35.543158516004,20.1480867001299,254,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
12,12,38.3997486959997,20.1480867001299,275,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
13,13,41.3236192789991,19.7341367374536,297,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
14,14,44.1819888980026,19.7341367374536,318,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
15,15,47.058670776998,19.7341367374536,339,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
16,16,49.9234249459987,19.7341367374536,360,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
17,17,53.2280735579989,19.7341367374536,381,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
18,18,56.0937344870035,19.7341367374536,402,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
19,19,58.958141191004,19.7341367374536,423,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
20,20,61.8038931289993,19.7341367374536,444,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
21,21,64.6560048219981,19.7341367374536,465,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
22,22,67.5105167100046,19.7341367374536,486,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
23,23,70.3563067120049,19.7341367374536,507,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
24,24,73.1991829690014,19.7341367374536,528,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
25,25,76.0635969369978,19.7341367374536,549,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
26,26,78.9302717640021,19.7341367374536,570,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
27,27,81.7978897400026,19.7341367374536,591,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
28,28,84.643218434001,19.7341367374536,612,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
29,29,87.506655449004,19.7341367374536,633,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
30,30,90.3539926640005,19.7341367374536,654,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
31,31,93.2850322630038,18.8995435978929,676,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
32,32,96.1699402900049,18.8995435978929,697,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
33,33,99.4412301300035,18.8995435978929,718,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
34,34,102.282619377998,18.8995435978929,739,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
35,35,105.167416634999,18.8995435978929,760,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
36,36,108.035450171003,18.8995435978929,781,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
37,37,110.896829427998,18.8995435978929,802,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
38,38,113.773892087003,18.8995435978929,823,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
39,39,116.642037650003,18.8995435978929,844,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
40,40,119.506828416001,18.8995435978929,865,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
41,41,122.359515329001,18.8995435978929,886,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
42,42,125.234080921,18.8995435978929,907,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
43,43,128.109888168001,18.8995435978929,928,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
44,44,130.972498951,18.8995435978929,949,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
45,45,133.835497148,18.8995435978929,970,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
46,46,136.700652628999,18.8995435978929,991,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
47,47,139.587420133001,18.8995435978929,1012,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
48,48,142.540651793002,18.5641268793549,1034,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
49,49,145.408629386002,18.5641268793549,1055,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
50,50,148.275013251005,18.5641268793549,1076,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
51,51,151.145896068003,18.5641268793549,1097,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
52,52,154.009897198004,18.5641268793549,1118,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
53,53,156.869167919998,18.5641268793549,1139,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
54,54,159.742782681999,18.5641268793549,1160,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
55,55,162.623211243001,18.5641268793549,1181,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
56,56,165.481453121,18.5641268793549,1202,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
57,57,168.356186614001,18.5641268793549,1223,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
58,58,171.233569707998,18.5641268793549,1244,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
59,59,174.102351603004,18.5641268793549,1265,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
60,60,176.978689720003,18.5641268793549,1286,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
61,61,179.848024904,18.5641268793549,1307,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
62,62,182.723735767999,18.5641268793549,1328,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
63,63,185.609727745003,18.5641268793549,1349,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
64,64,188.489790751999,18.5641268793549,1370,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
65,65,191.772084151999,18.5641268793549,1391,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
66,66,194.631667697002,18.5641268793549,1412,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
67,67,197.479533896003,18.5641268793549,1433,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
68,68,200.330393668999,18.5641268793549,1454,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
69,69,203.157594695003,18.5641268793549,1475,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
70,70,206.007460544999,18.5641268793549,1496,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
71,71,208.844596756004,18.5641268793549,1517,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
72,72,211.710761246999,18.5641268793549,1538,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
73,73,214.538647494999,18.5641268793549,1559,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
74,74,217.394437773,18.5641268793549,1580,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
75,75,220.258751727,18.5641268793549,1601,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
76,76,223.096840724,18.5641268793549,1622,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
77,77,225.932570873003,18.5641268793549,1643,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
78,78,228.792846554003,18.5641268793549,1664,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
79,79,231.635107991002,18.5641268793549,1685,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
80,80,234.474251954001,18.5641268793549,1706,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
81,81,237.308626118,18.5641268793549,1727,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
82,82,240.12517105,18.5641268793549,1748,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
83,83,242.998704515005,18.5641268793549,1769,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
84,84,245.838371525999,18.5641268793549,1790,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
85,85,248.686972953001,18.5641268793549,1811,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
86,86,251.542521509,18.5641268793549,1832,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
87,87,254.375245930998,18.5641268793549,1853,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
88,88,257.231711234002,18.5641268793549,1874,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
89,89,260.078003121998,18.5641268793549,1895,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
90,90,262.919004816002,18.5641268793549,1916,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
91,91,265.773140464,18.5641268793549,1937,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
92,92,268.619305379005,18.5641268793549,1958,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
93,93,271.447350656999,18.5641268793549,1979,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
94,94,274.275548471,18.5641268793549,2000,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
95,95,277.126890783002,18.5641268793549,2021,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
96,96,280.030006097004,16.8853050416194,2043,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
97,97,282.869852183001,16.8853050416194,2064,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
98,98,285.717122280003,16.8853050416194,2085,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
99,99,288.558663155003,16.8853050416194,2106,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
100,100,291.439990514999,16.8853050416194,2127,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
