,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_max_iters,param_schedule,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0,86.47683072090149,0.6035730838775635,0.09208559989929199,0.00835108757019043,relu,"[500, 500, 10]",0.1,500,1,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
1,83.68481004238129,2.7576035261154175,0.05913138389587402,0.010844707489013672,relu,"[500, 500, 10]",0.1,500,10,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
2,78.14438962936401,3.5213794708251953,0.09212124347686768,0.026267409324645996,relu,"[500, 500, 10]",1.0,500,1,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
3,89.17098248004913,1.5697318315505981,0.10059165954589844,0.006629228591918945,relu,"[500, 500, 10]",1.0,500,10,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
4,86.55219161510468,13.32581102848053,0.06716394424438477,0.0009596347808837891,relu,"[500, 500, 10]",10.0,500,1,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
5,85.78890919685364,0.027332305908203125,0.10444378852844238,0.022690773010253906,relu,"[500, 500, 10]",10.0,500,10,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
6,87.33130609989166,9.675925850868225,0.0655444860458374,0.006146788597106934,relu,"[500, 500, 10]",100.0,500,1,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
7,82.67840528488159,0.16669440269470215,0.06454110145568848,0.0013616085052490234,relu,"[500, 500, 10]",100.0,500,10,"{'activation': <function relu at 0x7fe17a68d5a0>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.11811225184145634,0.11158436536935971,0.11484830860540803,0.003263943236048311,1,0.10855081304958628,0.11947790129072948,0.11401435717015787,0.005463544120571602
8,97.11656844615936,8.816659808158875,0.09937596321105957,0.031307220458984375,tanh,"[500, 500, 10]",0.1,500,1,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
9,89.78568625450134,4.21107029914856,0.07594287395477295,0.00699770450592041,tanh,"[500, 500, 10]",0.1,500,10,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 0.1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
10,89.49550974369049,5.082136750221252,0.0671548843383789,0.0034356117248535156,tanh,"[500, 500, 10]",1.0,500,1,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
11,99.53415048122406,8.287350058555603,0.08884429931640625,0.025930404663085938,tanh,"[500, 500, 10]",1.0,500,10,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 1, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
12,78.83494627475739,4.197980284690857,0.07054281234741211,0.0038499832153320312,tanh,"[500, 500, 10]",10.0,500,1,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
13,90.96097242832184,4.698832154273987,0.06549811363220215,0.0012826919555664062,tanh,"[500, 500, 10]",10.0,500,10,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 10, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
14,92.7237559556961,1.9252289533615112,0.06284761428833008,0.004782676696777344,tanh,"[500, 500, 10]",100.0,500,1,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'max_iters': 500, 'schedule': ArithDecay(init_temp=1, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
15,70.28853416442871,9.581755638122559,0.04797840118408203,0.0016241073608398438,tanh,"[500, 500, 10]",100.0,500,10,"{'activation': <function tanh at 0x7fe17a68d870>, 'hidden_layer_sizes': [500, 500, 10], 'learning_rate': 100, 'max_iters': 500, 'schedule': ArithDecay(init_temp=10, decay=0.0001, min_temp=0.001)}",0.035343781920805034,0.04207602352081629,0.038709902720810666,0.003366120800005628,9,0.04231770035717675,0.035343781920805034,0.03883074113899089,0.0034869592181858595
